
# Curve 0 of 1, 100 points
# Curve title: "name u 7:1"
# x y type
 2  10.2435  i
 2.13131  6.49842  i
 2.26263  3.97295  i
 2.39394  2.70035  i
 2.52525  2.03602  i
 2.65657  1.67443  i
 2.78788  1.47031  i
 2.91919  1.33462  i
 3.05051  1.2408  i
 3.18182  1.17387  i
 3.31313  1.12608  i
 3.44444  1.09208  i
 3.57576  1.06861  i
 3.70707  1.05322  i
 3.83838  1.04395  i
 3.9697  1.03792  i
 4.10101  1.03204  i
 4.23232  1.02685  i
 4.36364  1.02423  i
 4.49495  1.02359  i
 4.62626  1.02363  i
 4.75758  1.02407  i
 4.88889  1.02485  i
 5.0202  1.02565  i
 5.15152  1.02626  i
 5.28283  1.02672  i
 5.41414  1.02714  i
 5.54545  1.02764  i
 5.67677  1.02831  i
 5.80808  1.02927  i
 5.93939  1.03061  i
 6.07071  1.03245  i
 6.20202  1.0346  i
 6.33333  1.03663  i
 6.46465  1.03814  i
 6.59596  1.03868  i
 6.72727  1.03784  i
 6.85859  1.03518  i
 6.9899  1.03028  i
 7.12121  1.023  i
 7.25253  1.01461  i
 7.38384  1.00684  i
 7.51515  1.00141  i
 7.64646  1.00005  i
 7.77778  1.00449  i
 7.90909  1.01644  i
 8.0404  1.03759  i
 8.17172  1.06673  i
 8.30303  1.0978  i
 8.43434  1.12432  i
 8.56566  1.13977  i
 8.69697  1.13767  i
 8.82828  1.11151  i
 8.9596  1.0548  i
 9.09091  0.961959  i
 9.22222  0.837244  i
 9.35354  0.69083  i
 9.48485  0.532975  i
 9.61616  0.373932  i
 9.74747  0.223959  i
 9.87879  0.0933112  i
 10.0101 -0.00775736  i
 10.1414 -0.0724738  i
 10.2727 -0.105138  i
 10.404 -0.112246  i
 10.5354 -0.100294  i
 10.6667 -0.0757778  i
 10.798 -0.0451932  i
 10.9293 -0.0150362  i
 11.0606  0.00833187  i
 11.1919  0.0222899  i
 11.3232  0.0283516  i
 11.4545  0.0282447  i
 11.5859  0.0236968  i
 11.7172  0.0164357  i
 11.8485  0.00818911  i
 11.9798  0.000684678  i
 12.1111 -0.00456852  i
 12.2424 -0.0074578  i
 12.3737 -0.00841966  i
 12.5051 -0.00789193  i
 12.6364 -0.00631242  i
 12.7677 -0.00411893  i
 12.899 -0.00174929  i
 13.0303  0.000359737  i
 13.1616  0.00192682  i
 13.2929  0.00298893  i
 13.4242  0.00362199  i
 13.5556  0.00390195  i
 13.6869  0.00390475  i
 13.8182  0.00370631  i
 13.9495  0.00338259  i
 14.0808  0.00300667  i
 14.2121  0.00261153  i
 14.3434  0.00220052  i
 14.4747  0.00177629  i
 14.6061  0.00134148  i
 14.7374  0.000898727  i
 14.8687  0.000450686  i
 15 -6.07153e-18  i

