

 Results, basis VDZ
         MRCI1          MRCI2          MRCI3        MRCIF1         MRCIF2         MRCIF3       AB 
    -499.9575894   -499.9575893   -499.9575893 -500.0869629   -500.0869628   -500.0869628   15.00 
    -499.9574703   -499.9574703   -499.9574701 -500.0638435   -500.0638435   -500.0638433   14.00 
    -499.9575924   -499.9575924   -499.9575922 -500.0638673   -500.0638673   -500.0638670   13.00 
    -499.9576002   -499.9576002   -499.9575999 -500.0639244   -500.0639244   -500.0639239   12.00 
    -499.9576354   -499.9576354   -499.9576348 -500.0639237   -500.0639237   -500.0639228   11.00 
    -499.9576359   -499.9576359   -499.9576348 -500.0639258   -500.0639257   -500.0639241   10.00 
    -499.9197294   -499.9197294   -499.9197270 -500.0639290   -500.0639290   -500.0639252    9.00 
    -499.9197359   -499.9197359   -499.9197306 -500.0639356   -500.0639356   -500.0639273    8.00 
    -499.9197439   -499.9197438   -499.9197308 -500.0639492   -500.0639491   -500.0639318    7.00 
    -499.9196852   -499.9196852   -499.9196286 -500.0639928   -500.0639928   -500.0639497    6.00 
    -499.9199005   -499.9199005   -499.9196749 -500.0639787   -500.0639787   -500.0638473    5.00 
    -499.9199559   -499.9199559   -499.9196882 -500.0640160   -500.0640159   -500.0638569    4.75 
    -499.9199725   -499.9199723   -499.9196909 -500.0640408   -500.0640406   -500.0638711    4.50 
    -499.9198717   -499.9198716   -499.9196464 -500.0639733   -500.0639732   -500.0638459    4.25 
    -499.9194936   -499.9194845   -499.9194844 -500.0637133   -500.0636493   -500.0636492    4.00 
    -499.9190156   -499.9183327   -499.9183324 -500.0633316   -500.0626736   -500.0626737    3.75 
    -499.9178608   -499.9154488   -499.9154482 -500.0624057   -500.0601303   -500.0601305    3.50 
    -499.9154332   -499.9088281   -499.9088269 -500.0603805   -500.0540270   -500.0540270    3.25 
    -499.9108002   -499.8943130   -499.8943099 -500.0562874   -500.0401790   -500.0401770    3.00 
    -499.9017254   -499.8629491   -499.8629398 -500.0479713   -500.0099744   -500.0099654    2.75 
    -499.8791628   -499.7958078   -499.7957746 -500.0272865   -499.9458589   -499.9458227    2.50 
    -499.8706881   -499.7750352   -499.7749921 -500.0195037   -499.9262029   -499.9261551    2.45 
    -499.8598554   -499.7507538   -499.7506980 -500.0095296   -499.9033144   -499.9032520    2.40 
    -499.8459598   -499.7223097   -499.7222376 -499.9967050   -499.8766162   -499.8765317    2.35 
    -499.8281093   -499.6888999   -499.6888071 -499.9801880   -499.8453482   -499.8452397    2.30 
    -499.8051790   -499.6495292   -499.6494104 -499.9589236   -499.8086020   -499.8084634    2.25 
    -499.7757507   -499.6029541   -499.6028023 -499.9315663   -499.7651991   -499.7650229    2.20 
    -499.7380387   -499.5476080   -499.5474154 -499.8964042   -499.7136100   -499.7133998    2.15 
    -499.6898064   -499.4815182   -499.4812756 -499.8512389   -499.6518873   -499.6516109    2.10 
    -499.6604843   -499.4413149   -499.4409613 -499.7932867   -499.5774361   -499.5771036    2.05 
    -499.5811366   -499.3444008   -499.3439497 -499.7189463   -499.4869262   -499.4865000    2.00 
                                                

